Okness,Quantity,Value,Reference
,,,
v,14x,R 47R,R17-R24;R37-R42
v,18x,R 470R,R52-R57;R67-72;R78-R79;R87;R90;R95;R98
v,18x,R 910R,R49-R51;R64-R66;R75-R77;R80-R84;R86;R89;R94;R97
v,4x,R 1k5,R85;R88;R93;R96
v,32x,R 4k7,R2;R4;R6;R8;R10;R12;R14;R16;R26;R28;R30;R32;R34;R36;R43-R48;R58-R63;R73-R74;R91-R92;R99;R100
v,14x,R 1M,R1;R3;R5;R7;R9;R11;R13;R15;R25;R27;R29;R31;R33;R35
v,14x,POT 50k,RV1-RV14
v,18x,C 10nF MLCC,C22;C24-C26;C28-C30;C32-C37;C40-C42;C44-C45
v,8x,C 100nF MLCC,C12-C13;C20-C21;C23;C27;C31;C43
v,14x,C 330nF MLCC,C4-C11;C14-C19
v,2x,"C 4,7uF elect",C1-C2
v,3x,C 10uF elect,C3;C38-C39
v,4x,BC547,Q1-Q4
v,4x,LM324,U1-U4
v,4x,CD40106,U5-U8
v,1x,DB15F,J2
v,18x,RJ45S,J3-J14;J17-J18;J21-J24
,3x,HEADER2x8,J15-J16;J25
v,2x,TERMBLOCK3,J1;J19
,1x,PE,J20
