"Source:","/home/kwendenarmo/git-repos/local/synusia/open-wound/brd/slave/slave.sch"
"Date:","lun 31 ago 2015 19:58:44 CEST"
"Tool:","Eeschema 0.201508110901+6083~28~ubuntu14.04.1-product"
"Generator:","/usr/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","23"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uF","CP_Small","Capacitors_SMD:c_elec_5x5.3","","140-VE100M1HTR0505 "
"C2, ","1","1uF","CP_Small","Capacitors_SMD:c_elec_4x5.3","","598-AVE105M50B12T-F"
"C3, ","1","10nF","C_Small","Capacitors_SMD:C_0603_HandSoldering","","77-VJ0603Y103KXAAC"
"C4, C5, C7, ","3","100nF","C_Small","Capacitors_SMD:C_0603_HandSoldering","","77-VJ0603Y104JXJPBC "
"C6, C8, ","2","22pF","C_Small","Capacitors_SMD:C_0603_HandSoldering","","77-VJ0603A220JXACBC"
"C9, ","1","100pF","C_Small","Capacitors_SMD:C_0603_HandSoldering","","77-VJ0603A101JXACBC "
"P1, ","1","AVRISP","CONN_02X03","Pin_Headers:Pin_Header_Straight_2x03","",""
"P2, ","1","IO","CONN_01X08","asrdi-conn:IL-Z-8PL-SMTYE","","656-IL-Z-8PL-SMTYE"
"P3, ","1","PIEZO","CONN_01X02","asrdi-conn:IL-Z-2PL-SMTYE","","656-IL-Z-2PL-SMTYE "
"P4, ","1","DEBUG","CONN_01X06","asrdi-conn:IL-Z-6PL-SMTYE","","656-IL-Z-6PL-SMTYE"
"P5, ","1","SENSE","CONN_01X01","Wire_Pads:SolderWirePad_single_2mmDrill","",""
"Q1, ","1","BC847","BC849","Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering","","583-BC847 "
"R2, R1, ","2","10r","R","Resistors_SMD:R_0603_HandSoldering","","71-CRCW0603-10-E3 "
"R3, ","1","10k","R","Resistors_SMD:R_0805_HandSoldering","","603-SR0805JR-0710KL "
"R4, ","1","1M","R","Resistors_SMD:R_0805_HandSoldering","","71-CRCW0805-1.0M-E3 "
"R5, ","1","2k2","R","Resistors_SMD:R_0805_HandSoldering","","660-RK73B2ATTD222J "
"U1, ","1","LM78L05ACZ","LM78L05ACZ","Housings_SOT-89:SOT89-3_Housing_Handsoldering","","821-TS78L05ACY"
"U2, ","1","ATMEGA328P-A","ATMEGA328P-A","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","","556-ATMEGA328P-AU"
"X1, ","1","16MHz","Crystal","Crystals_Oscillators_SMD:Q_49U3HMS","","774-ATS16ASM-1"
